realization_id,age_ka_bp__S1_01,age_ka_bp__S1_02,age_ka_bp__S1_03,age_ka_bp__S1_04,age_ka_bp__S1_05,age_ka_bp__S1_06,age_ka_bp__S1_07,age_ka_bp__S1_08,age_ka_bp__S1_09,age_ka_bp__S1_10,age_ka_bp__S1_11,age_ka_bp__S1_12,age_ka_bp__S1_13,age_ka_bp__S1_14,age_ka_bp__S1_15,age_ka_bp__S1_16,age_ka_bp__S1_17,age_ka_bp__S1_18,age_ka_bp__S1_19,age_ka_bp__S1_20,age_ka_bp__S1_21,age_ka_bp__S1_22,age_ka_bp__S1_23,age_ka_bp__S1_24,age_ka_bp__S1_25,age_ka_bp__S1_26,age_ka_bp__S1_27,age_ka_bp__S1_28,age_ka_bp__S1_29,age_ka_bp__S1_30,age_ka_bp__S1_31,age_ka_bp__S1_32,age_ka_bp__S1_33,age_ka_bp__S1_34,age_ka_bp__S1_35,age_ka_bp__S1_36,age_ka_bp__S1_37,age_ka_bp__S1_38,age_ka_bp__S1_39,age_ka_bp__S1_40,age_ka_bp__S1_41,age_ka_bp__S1_42,age_ka_bp__S1_43,age_ka_bp__S1_44,age_ka_bp__S1_45,age_ka_bp__S1_46,age_ka_bp__S1_47,age_ka_bp__S1_48,age_ka_bp__S1_49,age_ka_bp__S1_50,age_ka_bp__S1_51,age_ka_bp__S1_52,age_ka_bp__S1_53,age_ka_bp__S1_54,age_ka_bp__S1_55,age_ka_bp__S1_56,age_ka_bp__S1_57,age_ka_bp__S1_58,age_ka_bp__S1_59,age_ka_bp__S1_60,age_ka_bp__AUX_400
Barker_MC_00001,11.230832961639059,12.601618507986267,14.618992984652051,16.617744277323336,23.96059041543084,28.18989867852406,29.674964501842325,33.166740451577681,33.865319260580861,35.933035001904472,37.485694464620657,40.255268874067518,41.995453465765102,44.329448702807426,47.871195699087835,55.263565881486684,59.632900509172977,71.856291339623311,73.270063494718826,76.552180422444081,83.601035071729271,87.142393403893323,90.52334947316055,98.752932503419856,106.18784439533462,108.54810101638658,111.99993725070804,128.30535808615224,136.02525330442728,139.67734222371257,159.72177546171051,163.8328577181305,166.1881688138169,170.23739792488956,174.48106153710049,178.42149609539334,178.44632752527392,179.84161181944125,189.97131058193725,190.69807197442145,199.31269518133934,202.31343451178546,216.57291481502227,225.9472369257017,229.11692719863925,243.0378489232734,247.0290795090032,249.2023083018164,251.5855398538713,259.8781109046933,264.98527593575079,317.89835529421941,338.12082243267162,341.92941315058192,350.21927890484585,351.76092187141364,366.77109643747121,370.24570440157134,372.67583427738651,377.42027371922535,399.31028830318189
Barker_MC_00002,11.291982795184063,12.561614330427259,14.561118467680481,16.956293672514388,23.340259230667648,27.743601745043332,30.215343602639397,33.187048692404424,33.898426633126988,35.434659968918503,38.058426010218668,39.576658059427807,41.958730059188838,43.924592515718906,47.147876149158144,55.324115980520261,59.411328937746966,71.820051248956432,72.28191271101376,76.333367165038297,84.644532817113785,87.75139596181036,90.968986947795074,100.4870104829989,105.97016124113249,108.72071470196265,112.03362135877666,130.82961744274925,135.99900890061124,139.6070795794146,161.82864038920923,163.18717219096453,166.1736987376978,168.52240708120453,174.69475078995958,175.61226593813805,176.40618641900048,180.01904616605904,189.26305714663394,192.17502257342767,197.72394758545437,200.69646543086048,217.99283017525204,227.32008679569935,228.94072977831212,242.38382234106362,247.0501432490895,250.21807029974161,251.46009952281537,258.72793418556046,264.86547039957281,317.71201380237176,334.72307273932142,342.5780081649628,349.53041587494295,352.03895351663664,366.66871215245703,370.54790478497171,371.55233812643684,378.22672259030929,400.98400288423647
Barker_MC_00003,11.399627785669642,12.656217980547702,14.480828090646828,16.908681930267537,23.419136498210236,27.711575672111834,29.503115403440582,32.791265610065331,33.90655952806943,35.569335788711584,37.541339294377387,40.120048474240761,42.254490415774256,43.988657240858423,48.161424319449992,55.616421650418388,59.209448788064023,72.111698286118838,73.412320482375236,77.391194905140807,84.711449541360238,86.752438388384761,90.556205765610912,98.96662991553319,105.55005598692519,109.72925009141018,111.40152629397042,129.37892423565827,135.91900638129687,138.95849549444432,161.00175336974144,165.42261022457345,166.19456601596707,170.24931971292446,172.77044196929671,176.99058306950769,178.29614394668985,178.50027376101323,189.73303354362776,190.49908558660189,197.40187072638724,199.38224111753811,218.15959567147021,227.82463791709404,228.31825544097018,242.92677804041924,246.34055445244039,249.70962457711468,251.59048447516591,259.5658737647193,263.31279393496453,317.94308495939907,334.68684041237458,339.9250196884143,351.04596545824563,352.13178920954971,366.52069227330998,370.54748251901356,371.82187400080068,379.04729994732713,399.27983345761862
Barker_MC_00004,11.421908990800588,12.724686935602877,14.412875470097539,16.723623953622834,23.751587750564102,27.675715800550797,29.792837361120828,33.234056262104701,34.347125824868911,35.580929858581371,37.432765563692499,39.147505789419995,42.321070069522065,44.106120611029482,47.468491839170916,55.790081349516051,59.161935282845363,71.572836003586588,72.327416811177159,76.794304469746052,82.639962649791954,87.522087478852811,91.144229637639427,99.051735302871876,106.44086533748553,110.79426425123995,112.77482534050766,130.23169508935794,136.14283425903511,137.60855768595547,160.02837346227543,164.29548174681011,164.37580864414389,170.47168111919007,172.9950637646235,175.29584746268281,176.42326067476145,179.34353830213499,188.39515202812063,193.10802455223137,200.52040560499893,202.44794259956473,215.27339834231458,227.34914100283612,229.13199205812163,242.29804039545144,246.98734022756034,249.0672047396165,252.31129016131672,259.29216353625856,264.98623111799276,317.36785732016938,337.73673731416841,345.12563377613407,350.0264084670772,352.11931945452795,366.57060907225207,368.96257464566264,373.81884998006956,377.42546539815237,401.07647285479993
Barker_MC_00005,11.281037787000605,13.012878246054198,14.529767558929137,17.143282733886505,23.889328692209119,28.13850241177213,30.193056980090649,33.327866073788492,34.04434587255755,35.061006396041265,37.617252589089702,39.510235086089523,42.159728674810097,43.970801149024297,47.688208665732532,55.485350917505336,59.330228162297743,71.615550400020581,72.695929256815106,76.765820701243271,84.032192793022915,87.906273087652522,91.227556300695099,99.22583499789522,106.3702747576741,108.95338790510132,112.57082750436447,129.39057337295421,136.40507503707181,138.22865814789245,160.14277939410061,163.68503825698843,163.7732048505936,169.83557259431609,173.89756174292876,174.90670638205319,178.17968760284634,179.62758694358772,192.6678412532043,193.17445254950096,198.81550767108894,200.24647524221589,216.7463977143521,228.21972116765474,228.98469754966877,243.04494697632046,246.19020791543022,248.49697379973622,251.76427795828181,259.30303563690433,263.38945326812467,316.99722558094891,334.94261838165124,345.19430989309052,349.54691886108088,351.90755869237955,365.8181861368746,369.35521358393771,372.1145597274546,378.72365309329348,401.16354661691389
Barker_MC_00006,11.357587954622662,12.957475301108493,14.746559444824385,17.129402667182369,24.074643437322734,28.355657889790141,30.244686382651953,32.732761159603726,33.306664605187542,35.363031383051677,37.037398704551528,39.897963815213856,41.157312677679847,43.090990065432543,47.405119842711883,55.333196845645922,59.542208860694622,71.838767851887368,72.289641312166523,76.607465711981945,82.669236929681432,87.121218787517392,91.138824215288395,99.473083250870872,105.22780591121327,111.02372667133481,112.75747217738795,129.51958713611751,136.97017173774918,138.62597361939999,159.54378364005419,163.97607900854925,165.06214740602695,168.3032869996415,173.61002082751028,175.4191077073902,176.86226070644463,177.28355931722518,189.10325437163306,194.01400874345904,199.92923122016882,202.56247691122527,217.36642954883524,228.10373410127295,228.98873826904472,243.36074797512228,247.39886804024408,249.85208488716103,251.98679745352206,260.22227703160775,263.80581383911243,317.88064056091304,333.91690095824237,343.0487184846661,350.33097416119756,352.3172342050546,366.87926348466038,370.31114861775779,372.53220071911738,377.28355518263089,398.81846152477334
Barker_MC_00007,11.445930613653205,12.562788478518627,14.833015073435517,17.190205533066454,23.921774876554398,27.622985499985852,29.764002884212836,33.098723307793612,34.380733278359621,36.073569071394743,37.449549306998051,40.298190514214987,42.505013594678672,43.719080941657033,47.30972153811198,55.428944675983601,59.187393058844393,71.655949288257787,73.589119368952197,76.170783182349908,82.299533966444713,87.965120912805105,90.660557391024909,99.947595851902207,106.72426700473163,109.31964031447491,112.96694333715568,129.49661697128479,135.51277986111751,140.10442890489915,159.65105275468503,162.68299235335272,164.57342783245164,171.34380753494304,174.65901187016195,176.7078078016674,177.33477412528873,177.48377149946131,188.90474230266054,194.28930375394248,199.16308363116778,201.14128253468604,216.65625068758649,227.09504473346084,229.28635379480249,242.61121168683931,247.46724802869835,249.3627383219453,252.31791715286818,259.99865302314339,266.0817677924648,317.45568357861055,336.21752404890003,341.93489790368579,350.52324064589601,351.93303449184526,367.27425129524318,369.89610428744635,373.66422708243653,378.70333422029859,400.00989151061776
Barker_MC_00008,11.257078299523355,12.83924131112046,14.711961989694098,17.00885155668082,23.891529573834827,27.669888739155851,29.76382660395123,33.063464632630009,33.577613595386737,36.060288848813116,37.96076359212195,39.655005401550369,41.228146708672909,43.351408995881521,48.217729825077903,55.295905244438622,59.041993715349115,71.282075313102325,72.580255076136652,76.247633459741877,84.636782829411302,87.871225924962815,91.045773810210463,98.92417307746436,106.02607716388256,110.51316960473189,111.77581155081043,130.62915628614809,135.11137945070791,137.60394155643127,160.25266348270372,164.41602577653168,166.35388352312964,170.98161092302001,172.39323118165308,177.22915614895274,178.98494430029515,179.4298886524804,187.62272747767787,190.8159242257378,198.224344771636,199.97329988116439,217.38658638347445,227.10307651120269,228.98804131181711,241.89861461917516,247.11433640049023,248.84637714698212,251.33087327951844,258.16531593813687,262.51191229717,317.00995361550946,335.76804424146076,343.90602198029899,349.86949074922234,352.03317578099399,365.92755069819896,369.24157053603801,373.59286657976224,377.32940987417163,400.57224340757233
Barker_MC_00009,11.42490440977752,12.93211009140537,14.61892892116197,17.36964851868554,24.098853115585793,28.287299754062385,29.983785310693023,32.596333243950859,33.912136913454823,35.112383088804556,37.504599729595157,38.917008435897678,42.308391616592615,43.719738598261841,47.451036649272332,55.976015081268613,58.73732371062691,71.489752499549766,73.039298040751433,76.095603616012099,84.707496617052385,87.268976652592144,90.661778278795779,100.95900465650958,105.14870617529213,108.70967209522674,112.9417427497238,128.32347309346852,136.80587691821586,140.50692908265282,160.87520649459211,165.31022073129057,165.349151033824,169.82670145419345,172.51134138016522,175.747700535082,176.48907007604137,177.12938841436952,188.42213370279597,192.35714560786815,199.32514641455512,200.26697262190322,217.83648528466151,225.45035577477316,228.36166865384206,241.89330514290387,246.54857353110614,249.0481124589943,252.09029924302581,258.97382850418762,264.17731335414089,318.16602586521333,335.46869303174736,341.52687584187009,350.17073725657355,352.21329932375693,367.76567344929055,369.65259416371322,373.43227380161153,377.86929247366947,400.25763291105056
Barker_MC_00010,11.334991849468736,12.979304226132205,14.460982064476347,17.010072859322904,24.020076667974781,27.760136496635155,29.642148163017652,33.255551409437381,34.047893847703094,34.99871947430362,37.26625942327756,40.330937561572433,42.450503455269342,43.896378640352879,48.052139802533361,55.517322750799529,58.776267177606243,71.879926436479295,72.615378620667968,76.155436439349145,83.285552456472303,87.26492377454602,91.103635520504866,100.81031922508429,105.18430291995311,109.44718739810881,112.4696593300208,129.38512425121178,136.54258917199479,139.13527085565187,161.65074716419321,163.66148282462328,166.42344165943396,167.77036591853587,171.87187129089327,174.70879000650476,176.42064830819461,178.06322167558463,188.51615827236213,190.75120472336414,198.1656238152824,202.52796763709478,217.71855092360977,227.33775137547241,228.85097048599974,241.94851915620637,246.50621562024344,249.91228343568815,251.77817699110281,259.11511365952941,265.09602108367113,317.94494092516044,337.21154889546199,345.42109659429411,350.26214579895793,351.91021742157261,366.57015963612201,369.52407946409886,372.99125312552911,378.57823650425593,398.73897159674954
