realization_id,age_ka_bp__GS-1,age_ka_bp__GI-1,age_ka_bp__GS-2.1,age_ka_bp__GI-2.1,age_ka_bp__GS-2.2,age_ka_bp__GI-2.2,age_ka_bp__GS-3,age_ka_bp__GI-3,age_ka_bp__GS-4,age_ka_bp__GI-4,age_ka_bp__GS-5.1,age_ka_bp__GI-5.1,age_ka_bp__GS-5.2,age_ka_bp__GI-5.2,age_ka_bp__GS-6,age_ka_bp__GI-6,age_ka_bp__GS-7,age_ka_bp__GI-7,age_ka_bp__GS-8,age_ka_bp__GI-8,age_ka_bp__GS-9,age_ka_bp__GI-9,age_ka_bp__GS-10,age_ka_bp__GI-10,age_ka_bp__GS-11,age_ka_bp__GI-11,age_ka_bp__GS-12,age_ka_bp__GI-12,age_ka_bp__GS-13,age_ka_bp__GI-13,age_ka_bp__GS-14,age_ka_bp__GI-14,age_ka_bp__GS-15.1,age_ka_bp__GI-15.1,age_ka_bp__GS-15.2,age_ka_bp__GI-15.2,age_ka_bp__GS-16.1,age_ka_bp__GI-16.1,age_ka_bp__GS-16.2,age_ka_bp__GI-16.2,age_ka_bp__GS-17.1,age_ka_bp__GI-17.1,age_ka_bp__GS-17.2,age_ka_bp__GI-17.2,age_ka_bp__GS-18,age_ka_bp__GI-18,age_ka_bp__GS-19.1,age_ka_bp__GI-19.1,age_ka_bp__GS-19.2,age_ka_bp__GI-19.2,age_ka_bp__GS-20,age_ka_bp__GI-20,age_ka_bp__GS-21.1,age_ka_bp__GI-21.1,age_ka_bp__GS-21.2,age_ka_bp__GI-21.2,age_ka_bp__GS-22,age_ka_bp__GI-22,age_ka_bp__GS-23.1,age_ka_bp__GI-23.1,age_ka_bp__GS-23.2,age_ka_bp__GI-23.2,age_ka_bp__GS-24.1,age_ka_bp__GI-24.1,age_ka_bp__GS-24.2,age_ka_bp__GI-24.2,age_ka_bp__GS-25,age_ka_bp__GI-25,age_ka_bp__GS-26
NGRIP_00001,12.693084,14.456836,22.650821,22.788309,23.017662,23.088814,27.313064,27.583677,28.404626,28.734741,30.461947,30.740760,31.912582,32.392829,33.243417,33.582031,34.492799,35.331162,36.357633,37.899942,39.580048,39.753483,40.321365,41.025777,41.830707,42.915316,43.783617,46.186634,47.659805,48.404050,48.668917,53.477288,54.207575,54.337387,54.752419,55.126546,55.808936,57.382617,57.508709,57.623451,57.918085,58.416431,58.647220,58.787365,62.846372,63.007202,68.309485,68.535646,69.366449,71.169631,72.899579,75.457778,77.009224,84.218149,84.393962,84.491873,87.107752,89.665779,89.796344,104.126506,104.523454,104.668171,105.519936,106.547564,106.659364,107.626315,109.459409,113.081515,116.388402
NGRIP_00002,12.796946,14.622044,22.940436,23.009463,23.176827,23.285727,27.159211,27.287808,27.957100,28.239723,29.790411,29.973398,31.038138,31.561490,32.328409,32.754249,33.647479,34.421933,35.577154,37.076994,38.635512,38.936050,39.561968,40.138697,40.909450,41.919676,42.767543,45.257695,46.682155,47.590706,48.048137,52.049114,52.669948,52.789224,53.217096,53.628208,54.376022,56.019226,56.190392,56.326199,56.637120,57.193297,57.412498,57.558286,62.736219,63.089042,69.683992,69.965862,70.711990,72.632020,74.264528,76.620695,78.076638,85.064251,85.253474,85.318371,87.053819,88.679704,88.724951,103.926112,104.183161,104.342064,105.175130,106.510805,106.548355,107.894402,110.064976,113.558855,116.209907
NGRIP_00003,12.895358,14.703137,23.037156,23.161344,23.366897,23.515103,27.859971,28.092126,28.929450,29.253059,30.966572,31.259533,32.431835,32.814708,33.687159,33.939478,35.053175,35.744763,36.914287,38.702949,40.605095,40.785765,41.530258,42.108363,42.952472,44.090209,44.999693,47.691232,49.222526,50.105075,50.462839,54.592989,55.216886,55.296867,55.716327,56.131793,56.842279,58.509531,58.622542,58.791764,59.129997,59.623304,59.880254,60.003954,64.075898,64.291692,69.919825,70.124440,70.829201,72.499541,74.036644,76.449265,77.883068,84.155155,84.304070,84.390800,86.972506,89.326993,89.438813,101.545027,101.840577,101.999880,103.011455,104.562727,104.800587,106.461502,109.116276,113.762736,117.453617
NGRIP_00004,12.967235,14.810256,23.353431,23.452174,23.627677,23.802396,27.788833,27.924101,28.672367,28.990045,30.515441,30.826370,31.984267,32.399837,33.075474,33.549893,34.504186,35.240106,36.428132,38.123873,39.894627,40.164666,40.766115,41.404359,42.123306,43.158079,44.034767,46.475499,47.867759,48.764080,48.906661,53.995950,54.793947,54.858623,55.341835,55.799706,56.606052,58.470171,58.599835,58.720730,59.114630,59.697291,59.961839,60.102129,65.505348,65.805795,71.850517,72.112084,73.135967,74.938020,76.749151,79.003524,80.152244,86.849606,86.995846,87.106349,88.858409,90.579479,90.710822,105.828437,106.184028,106.334204,107.268959,108.728372,108.889157,110.312061,112.810953,117.366447,121.190956
NGRIP_00005,12.793892,14.564291,22.716775,22.796326,23.062307,23.146604,27.471392,27.730751,28.605486,28.885755,30.632838,30.992457,32.238259,32.756293,33.737013,34.127260,35.115605,35.922910,36.924204,38.382779,39.798158,40.109454,40.766087,41.264969,41.949327,43.024465,43.815229,46.243504,47.630824,48.555373,48.997908,53.144178,53.825548,53.939355,54.289332,54.706781,55.371645,56.786270,56.905420,57.033897,57.350930,57.847412,58.062621,58.177498,62.414263,62.641995,67.577984,67.862189,68.503617,70.800697,72.695202,75.050446,76.347871,82.389096,82.530367,82.622365,85.078589,87.349417,87.486300,102.722166,103.061376,103.259311,104.255240,105.622614,105.820933,107.264967,109.636433,113.912968,118.048642
NGRIP_00006,12.882650,14.684894,22.728477,22.844009,23.038822,23.131903,27.179562,27.399880,28.141837,28.455127,30.101109,30.331999,31.493963,31.926455,32.702693,33.120366,34.034695,34.834493,36.015094,37.647108,39.327501,39.686386,40.289057,41.110641,41.989030,43.203199,44.261063,47.065266,48.564847,49.709372,50.024767,54.535703,55.149040,55.273013,55.628070,55.980199,56.685574,57.993589,58.142082,58.192178,58.453244,58.941530,59.115386,59.227392,63.858187,64.120889,69.740479,69.977792,70.350199,72.876788,74.737943,77.045527,78.394188,85.609018,85.832954,85.930164,88.824428,91.701584,91.814527,105.081716,105.467548,105.601969,106.714399,108.417442,108.620017,110.398075,113.272189,118.086678,122.144691
NGRIP_00007,12.851612,14.658912,23.023021,23.174812,23.415527,23.498165,27.795412,28.028319,28.913141,29.201666,31.001491,31.277232,32.501801,33.005804,33.918991,34.316192,35.395989,36.246703,37.552374,39.617882,41.693926,41.971965,42.608421,43.228878,43.951057,44.989164,45.924382,48.791455,50.584111,51.688082,51.838997,56.768097,57.467568,57.545984,57.903516,58.245962,58.823844,60.116426,60.275565,60.318853,60.501767,60.992655,61.195586,61.286473,66.050413,66.280993,71.682227,71.915349,72.399450,74.184870,75.608570,77.587436,78.826448,85.844005,86.037486,86.125947,88.670256,91.183379,91.237988,106.408829,106.813639,106.955397,107.872033,109.093497,109.310686,110.565668,112.962700,117.877819,121.785741
NGRIP_00008,12.853401,14.671997,23.099465,23.206095,23.389915,23.545226,27.906429,28.125836,28.957742,29.262134,31.095293,31.218260,32.539144,33.062337,33.921335,34.364032,35.385938,36.183177,37.210860,38.855272,40.472557,40.770531,41.328882,41.992575,42.874515,43.891217,44.828432,47.271529,48.718900,49.563649,49.732183,53.923593,54.544271,54.591459,55.019010,55.469256,56.220917,57.837822,57.959774,58.138106,58.313953,58.989067,59.195828,59.331707,64.500030,64.782805,69.307528,69.345740,69.868687,71.929258,73.775685,75.779568,76.747004,84.186266,84.454963,84.505139,87.505866,90.199829,90.267409,104.560014,104.998733,105.204220,106.288541,107.604966,107.690062,109.103011,111.507686,116.417610,120.563854
NGRIP_00009,12.883334,14.683692,23.163001,23.260116,23.457224,23.587639,27.869882,28.172825,29.010895,29.338234,31.136920,31.356431,32.414060,32.986656,33.786468,34.195572,35.107986,35.960112,37.098111,38.759621,40.547854,40.714824,41.210440,41.753618,42.348107,43.252679,43.957511,46.390151,47.752471,48.699453,48.924352,53.525589,54.218613,54.327507,54.698780,55.102390,55.853304,57.398289,57.544194,57.611627,57.952208,58.481383,58.653836,58.784543,63.013823,63.244185,68.565554,68.803688,69.693109,71.053409,72.514295,74.364269,75.398546,82.307664,82.461832,82.595907,85.402286,87.979926,88.112333,100.998333,101.325682,101.480804,102.536181,104.420515,104.619653,106.631382,109.649074,114.086886,119.364632
NGRIP_00010,12.865212,14.659445,22.533758,22.646869,22.833697,22.930768,26.910332,27.229204,27.990713,28.284290,29.899192,30.092377,31.183237,31.606821,32.347973,32.752961,33.674803,34.454665,35.459232,37.170168,38.892825,39.112031,39.582253,40.317661,41.038152,42.033444,42.951658,45.491179,46.969596,47.866568,48.257834,52.545731,53.187901,53.246893,53.689512,54.163772,54.953417,56.546614,56.669000,56.809571,57.120525,57.645874,57.902429,58.053694,62.080364,62.281219,67.839365,68.171721,68.971273,71.086573,72.884808,75.518258,77.045685,86.748732,87.031981,87.140802,90.020731,92.673213,92.770876,108.045396,108.494607,108.605617,109.567254,110.851688,110.929231,112.261828,114.435885,118.746473,122.371481
NGRIP_00011,12.794550,14.562770,22.458093,22.534782,22.740680,22.835458,26.906837,27.240715,28.054028,28.314029,30.021666,30.341627,31.602910,32.143805,33.050469,33.546746,34.545400,35.377016,36.512526,38.172530,39.886874,40.085433,40.679376,41.199086,41.880849,42.790970,43.604406,46.062017,47.529160,48.441118,48.889872,52.376531,52.922850,52.976819,53.385475,53.779665,54.399982,56.036854,56.178532,56.257293,56.517329,57.041378,57.334425,57.440634,61.853298,62.142015,66.994708,67.295736,68.178576,69.603515,71.025785,73.399129,74.619722,81.417221,81.587219,81.635438,84.186334,86.668645,86.749134,99.764331,100.038306,100.167508,100.921498,101.997627,102.132317,103.295852,105.453795,110.772748,114.331939
NGRIP_00012,12.851387,14.638431,22.755875,22.851875,23.062015,23.152381,27.120957,27.423704,28.162189,28.461504,30.172151,30.395384,31.636433,32.071569,33.085278,33.431182,34.385018,35.204886,36.227698,37.721574,39.319826,39.560030,40.256847,40.878177,41.642871,42.948604,43.912742,46.623947,48.143727,49.123570,49.635590,54.400504,55.175947,55.230760,55.627569,56.012373,56.605295,57.986958,58.062310,58.188105,58.348132,58.843830,59.065959,59.179232,64.160989,64.491316,69.955669,70.182713,70.813929,73.050114,74.848557,77.291658,78.474959,87.091935,87.385638,87.475412,89.565708,91.480671,91.638208,103.786172,104.088396,104.211667,105.056035,106.405783,106.533105,107.991651,110.485128,115.391675,118.733587
NGRIP_00013,12.800524,14.559922,23.146753,23.295955,23.516794,23.598519,27.859110,28.158500,28.912605,29.199804,31.031107,31.304900,32.650906,33.242767,34.179647,34.688674,35.837691,36.629051,37.613111,39.264742,40.897375,41.128478,41.829868,42.662276,43.491830,44.797248,45.836312,48.264331,49.607503,50.370214,50.536175,55.941585,56.740847,56.881980,57.316619,57.688867,58.516144,59.999405,60.123869,60.192399,60.542707,61.068916,61.297540,61.428985,65.864499,66.095879,71.291094,71.407470,72.157354,73.815866,75.296420,77.814843,79.272364,86.590599,86.773815,86.906811,89.432005,91.878513,91.909883,105.202753,105.530976,105.647434,106.438137,107.501496,107.632471,108.747420,110.818641,114.951095,118.232408
NGRIP_00014,12.886403,14.710618,22.990141,23.099624,23.269060,23.423437,27.387977,27.653722,28.452842,28.779725,30.300763,30.539044,31.580596,31.946794,32.673897,33.069906,33.937962,34.544657,35.625426,37.107189,38.721168,38.986016,39.706636,40.329195,41.137494,42.301215,43.221371,46.259428,47.912182,49.081744,49.593149,53.949939,54.642895,54.720771,55.048433,55.358462,55.948679,57.303707,57.316856,57.497973,57.706612,58.123791,58.322283,58.448587,62.584731,62.860939,67.280410,67.478004,68.060885,70.059079,71.839903,73.852798,74.879245,81.843804,82.063367,82.154356,84.758321,87.128555,87.217073,99.812329,100.209704,100.389395,101.407931,102.798498,102.999565,104.404594,106.869974,111.300902,114.993315
NGRIP_00015,12.925864,14.731846,22.886351,23.002290,23.176473,23.302046,27.516984,27.710648,28.490736,28.746370,30.260896,30.543558,31.506267,31.850791,32.574165,32.845109,33.623094,34.244043,35.146903,36.650628,37.974987,38.323927,39.064429,39.774207,40.550604,41.779050,42.827899,45.756647,47.670014,48.536713,48.897145,54.074542,54.798675,54.915635,55.313583,55.613545,56.217426,57.563296,57.678040,57.829480,58.057283,58.510598,58.718412,58.821100,62.586463,62.811460,67.933402,68.153228,68.833825,71.159739,72.975451,75.571451,76.955854,82.958856,83.125176,83.197206,85.481944,87.659014,87.697857,99.944196,100.304834,100.468390,101.463785,102.783982,102.995517,104.409403,106.883655,112.020704,115.564720
NGRIP_00016,12.897806,14.710382,22.702011,22.838568,23.007707,23.139123,27.386487,27.690971,28.525526,28.847402,30.470972,30.707997,31.852419,32.220169,32.969518,33.348945,34.215955,35.004718,36.114729,37.909818,39.722372,39.948693,40.591253,41.275058,42.131168,43.078864,43.942994,46.605525,47.989220,49.132625,49.519561,54.380381,55.117416,55.264113,55.601493,55.971951,56.562549,57.967173,58.068147,58.159567,58.493560,58.917286,59.127072,59.236057,63.418407,63.629216,68.953893,69.102469,69.914177,71.675413,73.348128,75.547694,76.753610,83.252091,83.435635,83.527146,85.861085,88.017163,88.216920,103.054808,103.440482,103.602969,104.621461,105.952016,106.125265,107.608451,110.056254,114.928621,119.766259
NGRIP_00017,12.887723,14.683957,23.253202,23.418564,23.597122,23.761601,28.197804,28.421682,29.277568,29.525259,31.226677,31.441054,32.271674,32.733469,33.374821,33.672873,34.419807,35.168643,36.335333,37.997461,39.656672,40.024698,40.613851,41.334889,42.108950,43.216015,44.262398,46.477439,47.817602,48.519515,48.712639,52.975187,53.620516,53.715514,54.127553,54.499850,55.173371,56.703970,56.791723,56.915526,57.200319,57.674522,57.933244,58.090975,61.911475,62.143185,66.236303,66.392254,66.965578,69.831876,72.053543,74.422231,75.433588,81.540655,81.706538,81.830933,84.762507,87.567787,87.652699,101.483530,101.782477,101.883187,102.664183,103.822022,103.963230,105.149809,107.196666,111.442893,114.959660
NGRIP_00018,12.855598,14.665708,22.981038,23.123574,23.336018,23.476082,27.661936,27.836470,28.641391,28.979633,30.641966,30.878148,32.422258,32.848652,33.872464,34.303718,35.460946,36.237754,37.271742,38.873702,40.480669,40.818952,41.503859,42.308157,43.122475,44.471558,45.547892,48.229148,49.639535,50.672867,51.066635,55.898763,56.679947,56.761042,57.230668,57.653840,58.396900,60.127412,60.273654,60.411784,60.752196,61.303734,61.513153,61.693546,66.644068,66.934134,71.278849,71.487288,71.776393,74.136646,75.873215,78.142137,79.395976,86.182025,86.329927,86.407597,89.204652,91.720283,91.832141,108.497402,108.898044,109.113094,110.094777,111.257016,111.427281,112.646096,114.720341,118.706149,121.890003
NGRIP_00019,12.761263,14.543773,22.884020,22.971389,23.196649,23.346175,27.450417,27.735760,28.531481,28.862066,30.589224,30.775521,31.879357,32.292953,33.089528,33.426097,34.418061,35.128931,36.171743,37.922961,39.551972,39.965311,40.594188,41.308106,41.977050,43.245385,44.238815,47.012406,48.664520,49.747247,50.168002,53.716415,54.213966,54.305315,54.722769,55.129314,55.803521,57.306211,57.432369,57.561035,57.796415,58.356849,58.594341,58.670164,63.314947,63.515900,68.993877,69.239161,70.100151,72.077000,73.890671,76.150850,77.349479,84.837463,85.071959,85.159698,87.842664,90.390405,90.538052,105.144962,105.548912,105.671404,106.518338,107.615315,107.729764,108.821182,110.836338,115.806040,120.015350
NGRIP_00020,12.764093,14.555714,22.963913,23.060951,23.323993,23.426586,27.732609,27.936189,28.758614,29.082492,30.849771,30.965043,32.359734,32.782303,33.662398,34.137585,35.229122,35.932963,37.118759,38.897306,40.733605,40.991488,41.698237,42.340764,43.222746,44.308137,45.285200,47.749755,48.978085,49.924521,50.187001,54.642036,55.368320,55.473502,55.780301,56.128801,56.714356,58.018261,58.126759,58.163614,58.405139,58.872796,59.065680,59.160846,63.260923,63.520767,69.309503,69.543591,70.201677,72.305586,74.094596,76.289452,77.319767,84.407243,84.603223,84.727428,87.607689,90.290814,90.335282,104.371748,104.647648,104.801504,105.609599,106.592818,106.707802,107.772136,109.665966,114.003976,117.349963
NGRIP_00021,12.895275,14.702588,22.690793,22.786703,23.011565,23.086980,27.105067,27.404100,28.210643,28.490355,30.236912,30.446236,31.647812,32.177108,33.074570,33.464368,34.515005,35.289408,36.529907,38.118165,39.761658,40.101360,40.729211,41.173391,41.941620,42.856476,43.658153,46.287185,47.874653,48.782373,49.185611,53.206851,53.780823,53.898990,54.346563,54.703217,55.430482,57.009042,57.123347,57.287731,57.507251,58.081004,58.281578,58.426829,63.315365,63.592866,68.619714,68.893659,69.477924,71.495389,73.309948,75.604904,76.933793,84.385569,84.613868,84.715391,87.163715,89.598895,89.653069,104.733488,105.065657,105.226747,106.101628,107.556223,107.694558,109.074005,111.465679,116.141778,120.133580
NGRIP_00022,12.789510,14.575401,22.858216,23.004550,23.249364,23.337771,27.584801,27.815865,28.661937,28.964032,30.590671,30.931740,32.012959,32.430596,33.174775,33.612376,34.507504,35.263806,36.324067,37.937816,39.528412,39.828775,40.438684,41.065364,41.741400,42.859443,43.691153,45.981653,47.272492,48.054215,48.306266,51.814173,52.355060,52.426754,52.784546,53.116232,53.866220,55.244829,55.356508,55.433308,55.737777,56.179442,56.416289,56.480648,60.980309,61.259847,66.653864,66.975145,67.447886,69.542286,71.206785,73.359760,74.494407,81.114951,81.283069,81.374463,84.243379,87.071164,87.162171,103.179409,103.603803,103.727374,104.710878,105.957848,106.095579,107.373804,109.359927,112.640713,115.913559
NGRIP_00023,12.871143,14.664817,22.910700,23.061264,23.265309,23.393622,27.800378,28.043117,28.928419,29.262059,31.060690,31.305584,32.674397,33.033144,33.947254,34.294286,35.378790,36.053401,37.112619,38.620345,40.218542,40.477485,41.128671,41.833849,42.704009,43.824742,44.838042,47.530033,49.090587,50.009132,50.355876,55.182979,55.879805,55.932913,56.312509,56.733381,57.387141,58.772620,58.824240,58.946240,59.238548,59.626885,59.866017,59.997879,64.198364,64.418987,69.929671,70.242036,70.837562,73.172118,75.121967,77.706247,79.126423,86.624838,86.871127,86.950443,89.673713,92.264515,92.346539,105.923010,106.302148,106.488434,107.486716,109.050777,109.201471,110.769208,113.301048,117.474009,121.186013
NGRIP_00024,12.830128,14.600716,22.280475,22.396479,22.558425,22.657994,26.780338,27.032293,27.840493,28.138142,29.826860,30.049770,31.206856,31.663216,32.531052,32.879089,33.849406,34.506027,35.556190,37.007741,38.621676,38.895138,39.545650,40.327705,41.204669,42.456162,43.450405,46.215815,47.905274,48.633777,48.832348,53.975851,54.684205,54.786771,55.223162,55.580071,56.285403,57.880082,57.996997,58.078926,58.497495,58.915092,59.148854,59.274195,63.395071,63.639386,69.336551,69.522466,70.402621,72.289680,74.095610,76.592419,78.044284,85.560148,85.741131,85.852298,88.232987,90.610265,90.732345,104.723141,105.028163,105.179015,106.030901,107.266309,107.452425,108.729483,110.902706,115.060424,119.083624
NGRIP_00025,12.739017,14.509986,22.997556,23.091393,23.258308,23.423006,27.794123,28.013379,28.876733,29.180566,30.887247,31.170986,32.354829,32.897044,33.737822,34.178556,35.188907,35.868937,36.903838,38.420872,40.030044,40.248034,41.030932,41.869263,42.871295,44.140135,45.321117,47.586370,48.893144,49.451546,49.725850,54.168328,54.813396,54.865964,55.306378,55.680663,56.412588,58.010304,58.101023,58.254120,58.543532,59.011464,59.275253,59.395207,63.944086,64.172489,68.884997,69.140092,69.981152,71.840117,73.663195,76.114962,77.609756,85.628222,85.847294,86.003892,88.403146,90.536913,90.704213,106.328506,106.721339,106.875133,107.933784,109.353369,109.545800,110.977739,113.348017,117.039866,121.027478
