edc3_age_ka,speleo_age_ka,age_shift_ka,tuning_error_ka,absolute_speleo_error_ka,combined_uncertainty_ka
11.47,11.36,-0.11,0.11,0.08,0.14
12.58,12.80,0.22,0.22,0.10,0.24
14.34,14.62,0.27,0.21,0.10,0.23
17.52,17.11,-0.40,0.50,0.10,0.51
23.29,23.77,0.47,0.42,0.15,0.45
27.40,28.00,0.60,0.36,0.19,0.41
29.33,29.90,0.57,0.36,0.21,0.42
32.04,32.94,0.90,0.25,0.33,0.41
33.35,33.90,0.55,0.36,0.54,0.65
35.00,35.38,0.38,0.34,0.63,0.71
37.76,37.43,-0.33,0.25,0.63,0.68
39.50,39.58,0.07,0.34,0.73,0.80
41.30,41.70,0.40,0.42,0.73,0.84
43.13,43.72,0.60,0.36,0.55,0.66
46.42,47.60,1.17,0.22,0.59,0.63
55.20,55.60,0.40,0.22,0.45,0.50
58.58,59.30,0.72,0.36,0.50,0.62
70.70,71.63,0.94,0.28,0.40,0.49
72.40,72.93,0.53,0.42,0.50,0.66
75.18,76.75,1.57,0.50,0.65,0.82
83.20,83.60,0.40,1.08,0.75,1.31
87.32,87.35,0.04,0.34,0.60,0.69
89.93,90.67,0.75,0.36,0.65,0.74
99.06,99.77,0.71,0.58,1.10,1.24
103.31,105.97,2.65,0.50,0.95,1.07
106.52,109.76,3.24,0.35,1.55,1.59
108.69,111.54,2.85,0.54,1.50,1.59
129.00,129.57,0.57,0.67,1.25,1.42
135.22,136.09,0.87,0.42,1.25,1.32
138.93,139.03,0.10,0.32,1.45,1.48
159.09,160.67,1.57,0.42,1.40,1.46
162.18,164.05,1.88,0.50,1.35,1.44
164.22,165.22,1.00,0.47,1.40,1.48
168.21,169.53,1.33,0.28,1.80,1.82
172.07,173.25,1.18,0.50,1.80,1.87
175.20,176.53,1.33,0.86,1.90,2.09
177.00,177.88,0.88,0.28,1.50,1.53
178.30,178.65,0.35,0.57,1.50,1.60
187.84,189.98,2.14,1.52,2.60,3.01
190.72,191.69,0.97,0.50,2.60,2.65
201.40,199.06,-2.35,0.42,2.20,2.24
203.12,201.13,-1.99,0.61,1.70,1.81
215.32,216.97,1.66,0.54,2.15,2.22
226.41,226.90,0.49,1.39,0.55,1.50
228.75,228.54,-0.22,0.42,0.70,0.82
242.27,242.55,0.28,0.81,0.25,0.85
246.75,246.99,0.24,0.78,0.30,0.84
248.46,249.04,0.57,1.17,0.30,1.21
251.28,251.85,0.58,0.50,0.20,0.54
258.52,259.56,1.04,0.57,1.55,1.65
263.62,264.24,0.62,1.04,1.55,1.87
316.04,317.70,1.66,0.40,0.70,0.81
333.83,335.96,2.13,1.30,2.10,2.47
341.56,342.83,1.27,2.04,2.10,2.93
348.43,350.26,1.83,0.28,0.75,0.80
349.59,351.53,1.94,0.28,0.80,0.85
363.26,366.82,3.57,0.36,1.00,1.06
365.40,369.50,4.10,0.50,1.00,1.12
367.79,372.75,4.96,0.50,1.20,1.30
372.90,378.15,5.25,0.30,1.00,1.04
