scope,parameter,value,note
analysis,random_seed,20260904,
analysis,requested_realizations,10000,
analysis,accepted_realizations,10000,
analysis,total_proposals,10691,
analysis,rejected_proposals,691,
analysis,rejected_nonmonotone_chronologies,248,
analysis,rejected_event_order,443,
analysis,sofular_component,So-57,
analysis,rejection_fraction,0.06463380413431859,
analysis,minimum_event_separation_ka,0.0,
analysis,age_reference,kyr BP1950,all source ages aligned to 1950 CE
analysis,definition_sampling,one of nine equally weighted settings per record,method sensitivity
analysis,event_order_rule,reject complete nonmonotone or crossed proposals,no sorting or clipping
analysis,excluded_uncertainty_terms,proxy noise; growth history; dating systematics; stack alignment; synchronization,not a complete posterior
MF,source_filename,Fohlmeister J et al-2023-data-mf_d18o_stack.txt,Fohlmeister et al. (2023); approximate 95% envelope
MF,conversion_to_1sigma,outer half-width / 1.95996398454,include nominal age; retain outer bounds at duplicates
MF,shared_chronology_draw,one standard-normal z for all MF events,not an estimated covariance
Sofular,source_filename,held2024-so-4.txt; held2024-so-57.txt,Held2024 raw controls and individual StalAge curves
Sofular,conversion_to_1sigma,each reported 2sigma error / 2,before monotonicity/order conditioning
Sofular,chronology_draw,independent normal control offsets; interpolate displacement,center on published model ages; preserve curve shape
Sofular,component_rule,So-57,MIS 6.21 always uses So-4; other Sofular events use this component
Sofular,depth_projection,assumed age-coordinate projection,no hiatus crossing or extrapolation; not verified event depths
MF,valid_row_count,4244,input-envelope checks
MF,unique_age_count,4077,input-envelope checks
MF,source_rows_needing_bound_repair,188,input-envelope checks
